candidate_id,country,organization,interest_rate,unpaid_principal_bal,loan_term,origination_date,first_payment_date,loan_to_value,number_of_borrowers,debt_to_income_ratio,borrower_credit_score,loan_purpose,insurance_percent,co-borrower_credit_score,insurance_type,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13
2.68E+11,Z,"Turner, Baldwin and Rhodes",4.25,214000,360,01-03-2012,May-12,95,1,22,694,C86,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
6.73E+11,Y,"Swanson, Newton and Miller",4.875,144000,360,01-01-2012,Mar-12,72,1,44,697,B12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
7.43E+11,Z,Thornton-Davis,3.25,366000,180,01-01-2012,Mar-12,49,1,33,780,B12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6.01E+11,X,OTHER,4.75,135000,360,01-02-2012,Apr-12,46,2,44,633,B12,0,638,0,0,0,0,0,0,0,0,0,1,1,1,1,1
2.74E+11,X,OTHER,4.75,124000,360,01-02-2012,Apr-12,80,1,43,681,C86,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,1
7.69E+11,Y,Browning-Hart,4.375,150000,360,01-02-2012,Apr-12,80,1,46,675,C86,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1.48E+11,X,OTHER,4,59000,360,01-02-2012,Apr-12,95,1,44,723,C86,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8.53E+11,Y,Browning-Hart,4.5,319000,300,01-01-2012,Mar-12,62,1,45,652,A23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
4.24E+11,X,Browning-Hart,4,520000,360,01-03-2012,May-12,76,1,35,808,C86,0,0,0,0,0,0,0,1,0,1,0,1,2,0,1,1
3.09E+11,X,OTHER,4,214000,360,01-01-2012,Mar-12,95,2,41,702,A23,30,700,0,0,0,0,0,0,1,1,1,1,1,2,2,1
1.55E+11,X,OTHER,4.125,74000,360,01-02-2012,Apr-12,90,1,42,738,C86,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7.81E+11,X,Richardson Ltd,3.75,192000,121,01-01-2012,Mar-12,80,1,39,742,B12,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1
9.01E+11,X,OTHER,4.625,46000,360,01-03-2012,May-12,80,1,33,739,C86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.02E+11,X,"Swanson, Newton and Miller",4.375,256000,360,01-01-2012,Mar-12,80,1,37,723,B12,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,1
8.28E+11,Y,Edwards-Hoffman,5.125,84000,360,01-02-2012,Apr-12,80,1,46,757,C86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8.95E+11,X,OTHER,4.125,48000,240,01-01-2012,Mar-12,55,1,32,687,C86,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
5.56E+11,Y,Browning-Hart,4.25,68000,360,01-02-2012,Apr-12,80,1,41,731,A23,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,1
7.15E+11,Y,Browning-Hart,4,142000,360,01-02-2012,Apr-12,70,1,42,699,A23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.28E+11,Y,"Swanson, Newton and Miller",4.625,89000,240,01-01-2012,Mar-12,65,1,29,669,A23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
2.53E+11,Y,"Turner, Baldwin and Rhodes",4.375,417000,360,01-02-2012,Apr-12,56,1,45,711,B12,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1
5.91E+11,X,OTHER,4.625,55000,360,01-02-2012,Apr-12,50,1,45,640,B12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4.81E+11,Y,"Turner, Baldwin and Rhodes",4.5,60000,360,01-02-2012,Apr-12,55,1,41,621,C86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
8.98E+11,X,OTHER,3.25,127000,120,01-01-2012,Mar-12,62,2,29,746,A23,0,770,0,0,0,0,0,0,1,0,1,1,0,0,1,1
1.37E+11,X,OTHER,3.375,215000,180,01-01-2012,Mar-12,44,1,32,667,A23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1.35E+11,X,OTHER,4.5,150000,360,01-01-2012,Mar-12,75,1,39,779,C86,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
7.58E+11,X,OTHER,4.5,246000,360,01-02-2012,Apr-12,90,2,10,807,A23,25,813,0,0,0,0,0,0,0,0,0,0,0,1,2,1
